127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000768
127.0.0.1, 2018-04-25 21:55:57, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.002907
127.0.0.1, 2018-04-25 21:55:58, GET, /start/default/index, HTTP/1.1, 200, 0.059811
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000707
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001629
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001878
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002718
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001012
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001103
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.006281
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.005121
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001089
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000605
127.0.0.1, 2018-04-25 21:55:58, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000705
127.0.0.1, 2018-04-25 21:55:59, GET, /start/default/index, HTTP/1.1, 200, 0.064394
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000698
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.003118
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004677
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.008302
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003563
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002237
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002052
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000682
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.003170
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001195
127.0.0.1, 2018-04-25 21:55:59, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.008234
127.0.0.1, 2018-04-25 21:56:17, GET, /start/default/index, HTTP/1.1, 200, 0.306633
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002838
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001592
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001018
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000539
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000480
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.005319
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001231
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001884
127.0.0.1, 2018-04-25 21:56:17, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.005043
127.0.0.1, 2018-04-25 21:56:18, GET, /start/default/index, HTTP/1.1, 200, 0.065611
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000637
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000594
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002645
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000831
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001480
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002462
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.009119
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003938
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.006249
127.0.0.1, 2018-04-25 21:56:19, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000597
127.0.0.1, 2018-04-25 21:56:21, GET, /start/default/add, HTTP/1.1, 200, 0.083161
127.0.0.1, 2018-04-25 21:56:27, POST, /start/default/add, HTTP/1.1, 303, 0.073447
127.0.0.1, 2018-04-25 21:56:27, GET, /start/default/index, HTTP/1.1, 200, 0.085788
127.0.0.1, 2018-04-25 21:56:29, GET, /start/default/index, HTTP/1.1, 200, 0.069751
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000681
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002353
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001064
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001740
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000613
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002676
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001883
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004402
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.006784
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.004384
127.0.0.1, 2018-04-25 21:56:29, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000641
127.0.0.1, 2018-04-25 21:56:30, GET, /start/default/index, HTTP/1.1, 200, 0.078097
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000629
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000637
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000994
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000899
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002743
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000984
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000723
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001829
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001248
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000936
127.0.0.1, 2018-04-25 21:56:31, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000582
127.0.0.1, 2018-04-25 21:59:35, GET, /start/default/index, HTTP/1.1, 200, 0.278676
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000608
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000615
127.0.0.1, 2018-04-25 21:59:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000664
